Name,Rating,Link
Chôjikû Yôsai Macross: Ai Oboeteimasuka,7.8,https://www.imdb.com//title/tt0087660/
Gekijouban Mahou shojo Madoka magika Shinpen: Hangyaku no monogatari,7.7,https://www.imdb.com//title/tt2457282/
Kôkaku kidôtai: S.A.C. 2nd GIG - Individual eleven,8.4,https://www.imdb.com//title/tt1024214/
Shin Kido Senki Gundam Wing Endless Waltz,7.9,https://www.imdb.com//title/tt0260191/
Rurôni Kenshin: Ishin shishi e no Requiem,7.5,https://www.imdb.com//title/tt0184872/
Gekijô-ban - Bishôjo senshi Sêrâ Mûn R,7.8,https://www.imdb.com//title/tt0106417/
Inuyasha - Toki wo Koeru Omoi,7.4,https://www.imdb.com//title/tt0322645/
Meitantei Conan: Bekâ Sutorîto no bôrei,7.8,https://www.imdb.com//title/tt0990372/
Comet in Moominland,7.7,https://www.imdb.com//title/tt0240425/
Inuyasha - Tenka hadou no ken,7.8,https://www.imdb.com//title/tt0396659/
Ginga tetsudô Three-Nine,7.4,https://www.imdb.com//title/tt0080772/
Inuyasha - Kagami no naka no mugenjou,7.5,https://www.imdb.com//title/tt0366621/
Gekijouban Bleach: Jigokuhen,7.4,https://www.imdb.com//title/tt1785394/
Meitantei Conan: Hitomi no naka no ansatsusha,7.6,https://www.imdb.com//title/tt1068773/
Space Adventure Cobra,7.4,https://www.imdb.com//title/tt0163494/
Urusei Yatsura 2: Byûtifuru dorîmâ,7.5,https://www.imdb.com//title/tt0088334/
Gekijô-ban - Bishôjo senshi Sêrâ Mûn S,7.8,https://www.imdb.com//title/tt0109277/
Kôkaku kidôtai: Stand alone complex - The laughing man,8.3,https://www.imdb.com//title/tt1024215/
